"Part";"Value";"Device";"Package";"Description";"AMPLIFIERS_PER_PACKAGE";"AUTOMOTIVE_QUALIFIED";"AVAILABILITY";"CIIVA_IDS";"CODE__JEDEC";"COMPONENT_LINK_1_DESCRIPTION";"COMPONENT_LINK_1_URL";"COMPONENT_LINK_3_DESCRIPTION";"COMPONENT_LINK_3_URL";"DATASHEET";"DATASHEET_VERSION";"DESCRIPTION";"FOOTPRINT_VARIANT_NAME_0";"FOOTPRINT_VARIANT_NAME_1";"FOOTPRINT_VARIANT_NAME_2";"IMPORTED";"IMPORTED_FROM";"IMPORT_TS";"INPUT_BIAS_CURRENT";"INPUT_OFFSET_VOLTAGE";"IQ_AMP";"MF";"MOUNTING_TECHNOLOGY";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PACKAGE_DESCRIPTION";"PACKAGE_VERSION";"POPULARITY";"PREFIX";"PRICE";"PURCHASE-URL";"RELEASE_DATE";"SLEW_RATE";"SMALL_SIGNAL_BANDWIDTH";"SPICEPREFIX";"VAULT_GUID";"VAULT_REVISION";"V_SPAN_MAX";"V_SPAN_MIN";
"C22";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"";"";"";"C";"";"";"";"";
"C23";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"";"";"C";"";"";"";"";
"C25";"1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"";"";"";"C";"";"";"";"";
"C26";"10u";"CPOL-EUB/3528-21W";"B/3528-21W";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"C";"";"";"";"";
"C27";"10u";"CPOL-EUB/3528-21W";"B/3528-21W";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"C";"";"";"";"";
"C28";"22p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"";"";"";"C";"";"";"";"";
"C29";"22p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"";"";"";"C";"";"";"";"";
"D1";"1N5819-B";"1N5819-B";"DO41-7.6";"1.0A SCHOTTKY BARRIER RECTIFIER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"11";"";"";"";"";"";"";"";"";"";"";"";
"D2";"1N5819-B";"1N5819-B";"DO41-7.6";"1.0A SCHOTTKY BARRIER RECTIFIER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"11";"";"";"";"";"";"";"";"";"";"";"";
"D3";"1N5819-B";"1N5819-B";"DO41-7.6";"1.0A SCHOTTKY BARRIER RECTIFIER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"11";"";"";"";"";"";"";"";"";"";"";"";
